2629:   /opt/jboss/jdk15/bin/java -Dprogram.name=run.sh -server -Xms1024m -Xmx1024m -Xmn256m -Xss256k -XX:PermSize=256m -XX:MaxPermSize=256m -XX:+UseParallelGC -XX:+UseParallelOldGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+PrintHeapAtGC -XX:+PrintTenuringDistribution -XX:+DisableExplicitGC -Djboss.platform.mbeanserver -Djava.awt.headless=true
Address           Kbytes     RSS   Dirty Mode   Mapping
0000000041a88000     248      32      32 rwx--    [ anon ]
0000000041ac6000      12       0       0 -----    [ anon ]
0000000041ac9000     248      36      36 rwx--    [ anon ]
0000000041b43000      12       0       0 -----    [ anon ]
0000000041b46000     248      32      32 rwx--    [ anon ]
0000000041b92000      12       0       0 rwx--    [ anon ]
0000000041b95000     248     164     164 rwx--    [ anon ]
0000000041bd3000      12       0       0 -----    [ anon ]
0000000041bd6000     248      36      36 rwx--    [ anon ]
0000000041c14000      12       0       0 -----    [ anon ]
0000000041c17000     248      32      32 rwx--    [ anon ]
0000000041c73000      12       0       0 -----    [ anon ]
0000000041c76000    1016      12      12 rwx--    [ anon ]
0000000041d74000      12       0       0 -----    [ anon ]
0000000041d77000    1016      24      24 rwx--    [ anon ]
0000000041e75000      12       0       0 -----    [ anon ]
0000000041e78000    1016      32      32 rwx--    [ anon ]
0000000041f76000      12       0       0 -----    [ anon ]
0000000041f79000     248       8       8 rwx--    [ anon ]
0000000041fb7000       4       0       0 -----    [ anon ]
0000000041fb8000    1024       8       8 rwx--    [ anon ]
00000000420b8000      12       0       0 -----    [ anon ]
00000000420bb000     248      32      32 rwx--    [ anon ]
00000000420f9000      12       0       0 -----    [ anon ]
00000000420fc000     248      32      32 rwx--    [ anon ]
000000004213a000      12       0       0 -----    [ anon ]
000000004213d000     248      32      32 rwx--    [ anon ]
000000004217b000      12       0       0 -----    [ anon ]
000000004217e000     248      36      36 rwx--    [ anon ]
00000000421bc000      12       0       0 -----    [ anon ]
00000000421bf000     248      40      40 rwx--    [ anon ]
00000000421fd000      12       0       0 -----    [ anon ]
0000000042200000     248      32      32 rwx--    [ anon ]
000000004223e000      12       0       0 -----    [ anon ]
0000000042241000     248      52      52 rwx--    [ anon ]
000000004227f000      12       0       0 -----    [ anon ]
0000000042282000     248      32      32 rwx--    [ anon ]
00000000422c0000      12       0       0 -----    [ anon ]
00000000422c3000     248      36      36 rwx--    [ anon ]
0000000042301000      12       0       0 -----    [ anon ]
0000000042304000     248      32      32 rwx--    [ anon ]
0000000042342000      12       0       0 -----    [ anon ]
0000000042345000     248      40      40 rwx--    [ anon ]
0000000042383000      12       0       0 -----    [ anon ]
0000000042386000     248      32      32 rwx--    [ anon ]
00000000423c4000      12       0       0 -----    [ anon ]
00000000423c7000     248      44      44 rwx--    [ anon ]
0000000042405000      12       0       0 -----    [ anon ]
0000000042408000     248      32      32 rwx--    [ anon ]
0000000042446000      12       0       0 -----    [ anon ]
0000000042449000     248      40      40 rwx--    [ anon ]
0000000042487000      12       0       0 -----    [ anon ]
000000004248a000     248      32      32 rwx--    [ anon ]
00000000424c8000      12       0       0 -----    [ anon ]
00000000424cb000     248      36      36 rwx--    [ anon ]
0000000042509000      12       0       0 -----    [ anon ]
000000004250c000     248      36      36 rwx--    [ anon ]
000000004254a000      12       0       0 -----    [ anon ]
000000004254d000     248      32      32 rwx--    [ anon ]
000000004258b000      12       0       0 -----    [ anon ]
000000004258e000     248      32      32 rwx--    [ anon ]
00000000425cc000      12       0       0 -----    [ anon ]
00000000425cf000     248      32      32 rwx--    [ anon ]
000000004260d000      12       0       0 -----    [ anon ]
0000000042610000     248      32      32 rwx--    [ anon ]
000000004264e000      12       0       0 -----    [ anon ]
0000000042651000     248      32      32 rwx--    [ anon ]
000000004268f000      12       0       0 -----    [ anon ]
0000000042692000     248      36      36 rwx--    [ anon ]
00000000426d0000      12       0       0 -----    [ anon ]
00000000426d3000     248      32      32 rwx--    [ anon ]
0000000042711000      12       0       0 -----    [ anon ]
0000000042714000     248      32      32 rwx--    [ anon ]
0000000042752000      12       0       0 -----    [ anon ]
0000000042755000     248      32      32 rwx--    [ anon ]
0000000042793000      12       0       0 -----    [ anon ]
0000000042796000     248      36      36 rwx--    [ anon ]
00000000427d4000      12       0       0 -----    [ anon ]
00000000427d7000     248      32      32 rwx--    [ anon ]
0000000042815000      12       0       0 -----    [ anon ]
0000000042818000     248      36      36 rwx--    [ anon ]
0000000042856000      12       0       0 -----    [ anon ]
0000000042859000     248      32      32 rwx--    [ anon ]
0000000042897000      12       0       0 -----    [ anon ]
000000004289a000     248      36      36 rwx--    [ anon ]
00000000428d8000      12       0       0 -----    [ anon ]
00000000428db000     248      32      32 rwx--    [ anon ]
0000000042919000      12       0       0 -----    [ anon ]
000000004291c000     248      36      36 rwx--    [ anon ]
000000004295a000      12       0       0 -----    [ anon ]
000000004295d000     248      40      40 rwx--    [ anon ]
000000004299b000      12       0       0 -----    [ anon ]
000000004299e000     248      44      44 rwx--    [ anon ]
00000000429dc000      12       0       0 -----    [ anon ]
00000000429df000     248      32      32 rwx--    [ anon ]
0000000042a1d000      12       0       0 -----    [ anon ]
0000000042a20000     248      36      36 rwx--    [ anon ]
0000000042a5e000      12       0       0 -----    [ anon ]
0000000042a61000     248      32      32 rwx--    [ anon ]
0000000042a9f000      12       0       0 -----    [ anon ]
0000000042aa2000     248      36      36 rwx--    [ anon ]
0000000042ae0000      12       0       0 -----    [ anon ]
0000000042ae3000     248      32      32 rwx--    [ anon ]
0000000042b21000      12       0       0 -----    [ anon ]
0000000042b24000     248      40      40 rwx--    [ anon ]
0000000042b62000      12       0       0 -----    [ anon ]
0000000042b65000     248      32      32 rwx--    [ anon ]
0000000042ba3000      12       0       0 -----    [ anon ]
0000000042ba6000     248      40      40 rwx--    [ anon ]
0000000042be4000      12       0       0 -----    [ anon ]
0000000042be7000     248      32      32 rwx--    [ anon ]
0000000042c25000      12       0       0 -----    [ anon ]
0000000042c28000     248      32      32 rwx--    [ anon ]
0000000042c66000      12       0       0 -----    [ anon ]
0000000042c69000     248      32      32 rwx--    [ anon ]
0000000042ca7000      12       0       0 -----    [ anon ]
0000000042caa000     248      32      32 rwx--    [ anon ]
0000000042ce8000      12       0       0 -----    [ anon ]
0000000042ceb000     248      32      32 rwx--    [ anon ]
0000000042d29000      12       0       0 -----    [ anon ]
0000000042d2c000     248      32      32 rwx--    [ anon ]
0000000042d6a000      12       0       0 -----    [ anon ]
0000000042d6d000     248      32      32 rwx--    [ anon ]
0000000042dab000      12       0       0 -----    [ anon ]
0000000042dae000     248      40      40 rwx--    [ anon ]
0000000042dec000      12       0       0 -----    [ anon ]
0000000042def000     248      44      44 rwx--    [ anon ]
0000000042e2d000      12       0       0 -----    [ anon ]
0000000042e30000     248      32      32 rwx--    [ anon ]
0000000042e6e000      12       0       0 -----    [ anon ]
0000000042e71000     248      44      44 rwx--    [ anon ]
0000000042eaf000      12       0       0 -----    [ anon ]
0000000042eb2000     248      44      44 rwx--    [ anon ]
0000000042ef0000      12       0       0 -----    [ anon ]
0000000042ef3000     248      44      44 rwx--    [ anon ]
0000000042f31000      12       0       0 -----    [ anon ]
0000000042f34000     248      36      36 rwx--    [ anon ]
0000000042f72000      12       0       0 -----    [ anon ]
0000000042f75000     248      60      60 rwx--    [ anon ]
0000000042fb3000      12       0       0 -----    [ anon ]
0000000042fb6000     248      32      32 rwx--    [ anon ]
0000000042ff4000      12       0       0 -----    [ anon ]
0000000042ff7000     248      32      32 rwx--    [ anon ]
0000000043035000      12       0       0 -----    [ anon ]
0000000043038000     248      32      32 rwx--    [ anon ]
0000000043076000      12       0       0 -----    [ anon ]
0000000043079000     248      32      32 rwx--    [ anon ]
00000000430b7000      12       0       0 -----    [ anon ]
00000000430ba000     248      40      40 rwx--    [ anon ]
00000000430f8000      12       0       0 rwx--    [ anon ]
00000000430fb000     248     136     136 rwx--    [ anon ]
0000000043139000      12       0       0 -----    [ anon ]
000000004313c000     248     148     148 rwx--    [ anon ]
000000004317a000      12       0       0 -----    [ anon ]
000000004317d000     248     148     148 rwx--    [ anon ]
00000000431bb000      12       0       0 -----    [ anon ]
00000000431be000     248     148     148 rwx--    [ anon ]
00000000431fc000      12       0       0 -----    [ anon ]
00000000431ff000     248     136     136 rwx--    [ anon ]
000000004323d000      12       0       0 rwx--    [ anon ]
0000000043240000     248     136     136 rwx--    [ anon ]
000000004327e000      12       0       0 rwx--    [ anon ]
0000000043281000     248     152     152 rwx--    [ anon ]
00000000432bf000      12       0       0 -----    [ anon ]
00000000432c2000     248     136     136 rwx--    [ anon ]
0000000043300000      12       0       0 -----    [ anon ]
0000000043303000     248      40      40 rwx--    [ anon ]
0000000043341000      12       0       0 -----    [ anon ]
0000000043344000     248      40      40 rwx--    [ anon ]
0000000043382000      12       0       0 rwx--    [ anon ]
0000000043385000     248     148     148 rwx--    [ anon ]
00000000433c3000      12       0       0 -----    [ anon ]
00000000433c6000     248      40      40 rwx--    [ anon ]
0000000043404000      12       0       0 -----    [ anon ]
0000000043407000     248      40      40 rwx--    [ anon ]
0000000043445000      12       0       0 -----    [ anon ]
0000000043448000     248      36      36 rwx--    [ anon ]
0000000043486000      12       0       0 -----    [ anon ]
0000000043489000     248      32      32 rwx--    [ anon ]
00000000434c7000      12       0       0 -----    [ anon ]
00000000434ca000     248      52      52 rwx--    [ anon ]
0000000043508000      12       0       0 -----    [ anon ]
000000004350b000     248      40      40 rwx--    [ anon ]
0000000043549000      12       0       0 -----    [ anon ]
000000004354c000     248      40      40 rwx--    [ anon ]
000000004358a000      12       0       0 -----    [ anon ]
000000004358d000     248      40      40 rwx--    [ anon ]
00000000435cb000      12       0       0 -----    [ anon ]
00000000435ce000     248      40      40 rwx--    [ anon ]
000000004360c000      12       0       0 -----    [ anon ]
000000004360f000     248      36      36 rwx--    [ anon ]
000000004364d000      12       0       0 -----    [ anon ]
0000000043650000     248      36      36 rwx--    [ anon ]
000000004368e000      12       0       0 -----    [ anon ]
0000000043691000     248      36      36 rwx--    [ anon ]
00000000436cf000      12       0       0 -----    [ anon ]
00000000436d2000     248      36      36 rwx--    [ anon ]
0000000043710000      12       0       0 -----    [ anon ]
0000000043713000     248      36      36 rwx--    [ anon ]
0000000043751000      12       0       0 -----    [ anon ]
0000000043754000     248      36      36 rwx--    [ anon ]
0000000043792000      12       0       0 -----    [ anon ]
0000000043795000     248      32      32 rwx--    [ anon ]
00000000437d3000      12       0       0 -----    [ anon ]
00000000437d6000     248      32      32 rwx--    [ anon ]
0000000043814000      12       0       0 -----    [ anon ]
0000000043817000     248      36      36 rwx--    [ anon ]
0000000043855000      12       0       0 -----    [ anon ]
0000000043858000     248      32      32 rwx--    [ anon ]
0000000043896000      12       0       0 -----    [ anon ]
0000000043899000     248      32      32 rwx--    [ anon ]
00000000438d7000      12       0       0 -----    [ anon ]
00000000438da000     248      32      32 rwx--    [ anon ]
0000000043918000      12       0       0 -----    [ anon ]
000000004391b000     248      32      32 rwx--    [ anon ]
0000000043959000      12       0       0 -----    [ anon ]
000000004395c000     248      36      36 rwx--    [ anon ]
000000004399a000      12       0       0 -----    [ anon ]
000000004399d000     248      36      36 rwx--    [ anon ]
00000000439db000      12       0       0 -----    [ anon ]
00000000439de000     248      36      36 rwx--    [ anon ]
0000000043a1c000      12       0       0 -----    [ anon ]
0000000043a1f000     248      36      36 rwx--    [ anon ]
0000000043a5d000      12       0       0 -----    [ anon ]
0000000043a60000     248      36      36 rwx--    [ anon ]
0000000043a9e000      12       0       0 -----    [ anon ]
0000000043aa1000     248      36      36 rwx--    [ anon ]
0000000043adf000      12       0       0 -----    [ anon ]
0000000043ae2000     248      36      36 rwx--    [ anon ]
0000000043b20000      12       0       0 -----    [ anon ]
0000000043b23000     248      32      32 rwx--    [ anon ]
0000000043b61000      12       0       0 -----    [ anon ]
0000000043b64000     248      36      36 rwx--    [ anon ]
0000000043ba2000      12       0       0 -----    [ anon ]
0000000043ba5000     248      32      32 rwx--    [ anon ]
0000000043be3000      12       0       0 -----    [ anon ]
0000000043be6000     248      32      32 rwx--    [ anon ]
0000000043c24000      12       0       0 -----    [ anon ]
0000000043c27000     248      32      32 rwx--    [ anon ]
0000000043c65000      12       0       0 -----    [ anon ]
0000000043c68000     248      32      32 rwx--    [ anon ]
0000000043ca6000      12       0       0 -----    [ anon ]
0000000043ca9000     248      32      32 rwx--    [ anon ]
0000000043ce7000      12       0       0 -----    [ anon ]
0000000043cea000     248      32      32 rwx--    [ anon ]
0000000043d28000      12       0       0 -----    [ anon ]
0000000043d2b000     248      32      32 rwx--    [ anon ]
0000000043d69000      12       0       0 -----    [ anon ]
0000000043d6c000     248      32      32 rwx--    [ anon ]
0000000043daa000      12       0       0 -----    [ anon ]
0000000043dad000     248      32      32 rwx--    [ anon ]
0000000043deb000      12       0       0 -----    [ anon ]
0000000043dee000     248      32      32 rwx--    [ anon ]
0000000043e2c000      12       0       0 -----    [ anon ]
0000000043e2f000     248      32      32 rwx--    [ anon ]
0000000043e6d000      12       0       0 -----    [ anon ]
0000000043e70000     248      32      32 rwx--    [ anon ]
0000000043eae000      12       0       0 -----    [ anon ]
0000000043eb1000     248      36      36 rwx--    [ anon ]
0000000043eef000      12       0       0 -----    [ anon ]
0000000043ef2000     248      36      36 rwx--    [ anon ]
0000000043f30000      12       0       0 -----    [ anon ]
0000000043f33000     248      48      48 rwx--    [ anon ]
0000000043f71000      12       0       0 -----    [ anon ]
0000000043f74000     248      68      68 rwx--    [ anon ]
0000000043fb2000      12       0       0 -----    [ anon ]
0000000043fb5000     248      40      40 rwx--    [ anon ]
0000000043ff3000      12       0       0 -----    [ anon ]
0000000043ff6000     248      32      32 rwx--    [ anon ]
0000000044034000      12       0       0 -----    [ anon ]
0000000044037000     248      40      40 rwx--    [ anon ]
0000000044075000      12       0       0 -----    [ anon ]
0000000044078000     248      36      36 rwx--    [ anon ]
00000000440b6000      12       0       0 -----    [ anon ]
00000000440b9000     248      32      32 rwx--    [ anon ]
00000000440f7000      12       0       0 -----    [ anon ]
00000000440fa000     248      40      40 rwx--    [ anon ]
0000000044138000      12       0       0 -----    [ anon ]
000000004413b000     248      40      40 rwx--    [ anon ]
0000000044179000      12       0       0 -----    [ anon ]
000000004417c000     248      32      32 rwx--    [ anon ]
00000000441ba000      12       0       0 -----    [ anon ]
00000000441bd000     248      36      36 rwx--    [ anon ]
00000000441fb000      12       0       0 -----    [ anon ]
00000000441fe000     248      36      36 rwx--    [ anon ]
000000004423c000      12       0       0 -----    [ anon ]
000000004423f000     248      32      32 rwx--    [ anon ]
000000004427d000      12       0       0 -----    [ anon ]
0000000044280000     248      40      40 rwx--    [ anon ]
00000000442be000      12       0       0 -----    [ anon ]
00000000442c1000     248      36      36 rwx--    [ anon ]
00000000442ff000      12       0       0 -----    [ anon ]
0000000044302000     248      36      36 rwx--    [ anon ]
0000000044340000      12       0       0 -----    [ anon ]
0000000044343000     248      36      36 rwx--    [ anon ]
0000000044381000      12       0       0 -----    [ anon ]
0000000044384000     248      36      36 rwx--    [ anon ]
00000000443c2000      12       0       0 -----    [ anon ]
00000000443c5000     248      36      36 rwx--    [ anon ]
0000000044403000      12       0       0 -----    [ anon ]
0000000044406000     248      36      36 rwx--    [ anon ]
0000000044444000      12       0       0 -----    [ anon ]
0000000044447000     248      32      32 rwx--    [ anon ]
0000000044485000      12       0       0 -----    [ anon ]
0000000044488000     248      32      32 rwx--    [ anon ]
00000000444c6000      12       0       0 -----    [ anon ]
00000000444c9000     248      36      36 rwx--    [ anon ]
0000000044507000      12       0       0 -----    [ anon ]
000000004450a000     248      36      36 rwx--    [ anon ]
0000000044548000      12       0       0 -----    [ anon ]
000000004454b000     248      40      40 rwx--    [ anon ]
0000000044589000      12       0       0 -----    [ anon ]
000000004458c000     248      32      32 rwx--    [ anon ]
00000000445ca000      12       0       0 -----    [ anon ]
00000000445cd000     248      32      32 rwx--    [ anon ]
000000004460b000      12       0       0 -----    [ anon ]
000000004460e000     248      36      36 rwx--    [ anon ]
000000004464c000      12       0       0 -----    [ anon ]
000000004464f000     248      40      40 rwx--    [ anon ]
000000004468d000      12       0       0 -----    [ anon ]
0000000044690000     248      36      36 rwx--    [ anon ]
00000000446ce000      12       0       0 -----    [ anon ]
00000000446d1000     248      36      36 rwx--    [ anon ]
000000004470f000      12       0       0 -----    [ anon ]
0000000044712000     248      36      36 rwx--    [ anon ]
0000000044750000      12       0       0 -----    [ anon ]
0000000044753000     248      36      36 rwx--    [ anon ]
0000000044791000      12       0       0 -----    [ anon ]
0000000044794000     248      36      36 rwx--    [ anon ]
00000000447d2000      12       0       0 -----    [ anon ]
00000000447d5000     248      40      40 rwx--    [ anon ]
0000000044813000      12       0       0 -----    [ anon ]
0000000044816000     248      32      32 rwx--    [ anon ]
0000000044854000      12       0       0 -----    [ anon ]
0000000044857000     248      40      40 rwx--    [ anon ]
0000000044895000      12       0       0 -----    [ anon ]
0000000044898000     248      32      32 rwx--    [ anon ]
00000000448d6000      12       0       0 -----    [ anon ]
00000000448d9000     248      36      36 rwx--    [ anon ]
0000000044917000      12       0       0 -----    [ anon ]
000000004491a000     248      36      36 rwx--    [ anon ]
0000000044958000      12       0       0 -----    [ anon ]
000000004495b000     248      36      36 rwx--    [ anon ]
0000000044999000      12       0       0 -----    [ anon ]
000000004499c000     248      36      36 rwx--    [ anon ]
00000000449da000      12       0       0 -----    [ anon ]
00000000449dd000     248      36      36 rwx--    [ anon ]
0000000044a1b000      12       0       0 -----    [ anon ]
0000000044a1e000     248     136     136 rwx--    [ anon ]
0000000044a5c000      12       0       0 -----    [ anon ]
0000000044a5f000     248     148     148 rwx--    [ anon ]
0000000044a9d000      12       0       0 rwx--    [ anon ]
0000000044aa0000     248     148     148 rwx--    [ anon ]
0000000044ade000      12       0       0 -----    [ anon ]
0000000044ae1000     248     148     148 rwx--    [ anon ]
0000000044b1f000      12       0       0 -----    [ anon ]
0000000044b22000     248      36      36 rwx--    [ anon ]
0000000044b60000      12       0       0 -----    [ anon ]
0000000044b63000     248     148     148 rwx--    [ anon ]
0000000044ba1000      12       0       0 -----    [ anon ]
0000000044ba4000     248     136     136 rwx--    [ anon ]
0000000044be2000      12       0       0 rwx--    [ anon ]
0000000044be5000     248     148     148 rwx--    [ anon ]
0000000044c23000      12       0       0 -----    [ anon ]
0000000044c26000     248     148     148 rwx--    [ anon ]
0000000044c64000      12       0       0 rwx--    [ anon ]
0000000044c67000     248     152     152 rwx--    [ anon ]
0000000044ca5000      12       0       0 rwx--    [ anon ]
0000000044ca8000     248     148     148 rwx--    [ anon ]
0000000044ce6000      12       0       0 -----    [ anon ]
0000000044ce9000     248      36      36 rwx--    [ anon ]
0000000044d27000      12       0       0 -----    [ anon ]
0000000044d2a000     248      64      64 rwx--    [ anon ]
0000000044d68000      12       0       0 rwx--    [ anon ]
0000000044d6b000     248     136     136 rwx--    [ anon ]
0000000044da9000      12       0       0 rwx--    [ anon ]
0000000044dac000     248     148     148 rwx--    [ anon ]
0000000044dea000      12       0       0 rwx--    [ anon ]
0000000044ded000     248     136     136 rwx--    [ anon ]
0000000051166000   49680   49448   49448 rwx--    [ anon ]
00000039a3200000     112     104       0 r-x--  ld-2.5.so
00000039a341c000       4       4       4 r-x--  ld-2.5.so
00000039a341d000       4       4       4 rwx--  ld-2.5.so
00000039a3600000    1336     568       0 r-x--  libc-2.5.so
00000039a374e000    2048       0       0 -----  libc-2.5.so
00000039a394e000      16      16       8 r-x--  libc-2.5.so
00000039a3952000       4       4       4 rwx--  libc-2.5.so
00000039a3953000      20      20      20 rwx--    [ anon ]
00000039a3a00000       8       8       0 r-x--  libdl-2.5.so
00000039a3a02000    2048       0       0 -----  libdl-2.5.so
00000039a3c02000       4       4       4 r-x--  libdl-2.5.so
00000039a3c03000       4       4       4 rwx--  libdl-2.5.so
00000039a3e00000      88      64       0 r-x--  libpthread-2.5.so
00000039a3e16000    2044       0       0 -----  libpthread-2.5.so
00000039a4015000       4       4       4 r-x--  libpthread-2.5.so
00000039a4016000       4       4       4 rwx--  libpthread-2.5.so
00000039a4017000      16       4       4 rwx--    [ anon ]
00000039a4600000     520      72       0 r-x--  libm-2.5.so
00000039a4682000    2044       0       0 -----  libm-2.5.so
00000039a4881000       4       4       4 r-x--  libm-2.5.so
00000039a4882000       4       4       4 rwx--  libm-2.5.so
00000039a4a00000      84      24       0 r-x--  libnsl-2.5.so
00000039a4a15000    2044       0       0 -----  libnsl-2.5.so
00000039a4c14000       4       4       4 r-x--  libnsl-2.5.so
00000039a4c15000       4       4       4 rwx--  libnsl-2.5.so
00000039a4c16000       8       0       0 rwx--    [ anon ]
00002aaaaaaab000  143520  124088  112264 rwx--    [ anon ]
00002aaab36d3000   55132      40       0 r-x--  locale-archive
00002aaab6caa000     156     156       0 r-xs-  sunjce_provider.jar
00002aaab6cd1000      12       8       0 r-xs-  dnsns.jar
00002aaab6cd4000     172      16       0 r-xs-  sunpkcs11.jar
00002aaab6cff000     792       8       0 r-xs-  localedata.jar
00002aaab6dc5000      44      40       0 r-xs-  run.jar
00002aaab6dd0000      16       8       0 r-xs-  getopt.jar
00002aaab6dd4000    6880     192       0 r-xs-  tools.jar
00002aaab748c000     860     476       0 r-xs-  jboss-jmx.jar
00002aaab7563000     252     148       0 r-xs-  concurrent.jar
00002aaab75a2000     128     128       0 r-xs-  log4j-boot.jar
