57.897: [GC [PSYoungGen: 287235K->16478K(314240K)] 669281K->406084K(1013312K), 0.0520980 secs] [Times: user=0.10 sys=0.02, real=0.05 secs] 
58.541: [GC [PSYoungGen: 293918K->17393K(312704K)] 683524K->412986K(1011776K), 0.0424110 secs] [Times: user=0.08 sys=0.02, real=0.04 secs] 
59.127: [GC [PSYoungGen: 294833K->20088K(316608K)] 690426K->422114K(1015680K), 0.1116950 secs] [Times: user=0.10 sys=0.02, real=0.11 secs] 
59.789: [GC [PSYoungGen: 303032K->19193K(315840K)] 705058K->429021K(1014912K), 0.0605840 secs] [Times: user=0.17 sys=0.05, real=0.06 secs] 
60.575: [GC [PSYoungGen: 302137K->14075K(318336K)] 711965K->429483K(1017408K), 0.1099940 secs] [Times: user=0.16 sys=0.02, real=0.11 secs] 
61.052: [GC [PSYoungGen: 300667K->17015K(317760K)] 716075K->437848K(1016832K), 0.0529450 secs] [Times: user=0.10 sys=0.02, real=0.05 secs] 
61.656: [GC [PSYoungGen: 303591K->22432K(318592K)] 724423K->450428K(1017664K), 0.0672170 secs] [Times: user=0.17 sys=0.01, real=0.07 secs] 
62.539: [GC [PSYoungGen: 311008K->16392K(319040K)] 739004K->452050K(1018112K), 0.0609580 secs] [Times: user=0.17 sys=0.01, real=0.07 secs] 
62.931: [GC [PSYoungGen: 304968K->18367K(320960K)] 740626K->459040K(1020032K), 0.0469380 secs] [Times: user=0.10 sys=0.00, real=0.05 secs] 
63.598: [GC [PSYoungGen: 309759K->18423K(319936K)] 750432K->467020K(1019008K), 0.0868320 secs] [Times: user=0.11 sys=0.01, real=0.09 secs] 
64.120: [GC [PSYoungGen: 309815K->16304K(322496K)] 758412K->473428K(1021568K), 0.0471110 secs] [Times: user=0.10 sys=0.01, real=0.05 secs] 
64.698: [GC [PSYoungGen: 311216K->19574K(321920K)] 768340K->483977K(1020992K), 0.0783760 secs] [Times: user=0.12 sys=0.01, real=0.08 secs] 
65.309: [GC [PSYoungGen: 314486K->19667K(323136K)] 778889K->492491K(1022208K), 0.0470430 secs] [Times: user=0.11 sys=0.01, real=0.05 secs] 
65.907: [GC [PSYoungGen: 316111K->14279K(322816K)] 788935K->493757K(1021888K), 0.0538120 secs] [Times: user=0.15 sys=0.00, real=0.05 secs] 
66.447: [GC [PSYoungGen: 310727K->18943K(323648K)] 790205K->503407K(1022720K), 0.0506520 secs] [Times: user=0.09 sys=0.02, real=0.05 secs] 
